pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
293.552 0.555809 1.75001 -1 -1 -1 -1 211.868 0.595123 -1 0.710188 -1 294.368 -1.60286 1.3731 386.51 0.789982 1.94696 0.0996691
676.354 2.07225 -2.69079 393.638 0.346343 0.4795 1472.62 1323.65 0.58722 0.752401 0.55183 0.8131 309.953 0.426914 0.0538 1023.32 0.283281 3.13915 0.0996691
1359.09 -0.580666 -2.2152 1044.9 0.818929 1.33154 2993.91 2759.32 0.547656 0.684371 0.469445 0.561442 377.633 0.14256 0.114432 2557.86 0.847548 2.49278 0.0996691
1993.63 -0.388849 -0.551378 1462.34 -0.214701 1.38499 2926.81 2533.93 0.171012 0.265913 0.753944 0.765731 1139.55 -3.00394 0.0276302 4354.04 0.9479 2.50472 0.0996691
1528.88 -1.22195 -1.8972 -1 -1 -1 -1 1002.31 0.151776 -1 0.817627 -1 1322.16 1.24698 0.0737722 1709.16 0.76675 3.11654 0.0996691
1815.39 0.237447 1.21799 1096.2 0.173294 -1.3335 2768.48 2416.19 0.280303 0.538512 0.552445 0.803169 365.328 -1.96029 0.622216 3700.73 0.430395 2.53762 0.0996691
1628.05 -0.306399 -1.93668 -1 -1 -1 -1 479.653 0.0993297 -1 0.673273 -1 1552.74 1.3364 0.269998 1927.35 0.900803 2.90333 0.0996691
2360.17 0.113482 -0.224772 1106.41 0.384549 2.0045 2965.39 2843.28 0.605849 0.572898 0.228129 0.779982 491.378 2.0759 0.0765005 5287.78 0.564782 2.22417 -0.0996691
1625.37 0.084776 -2.69361 1386.62 0.260654 0.430457 3027.32 3002.93 0.465754 0.78546 0.490628 0.74588 322.011 0.107309 0.3243 3152.34 0.0829036 3.12445 0.0996691
1322.37 0.679171 -1.09075 1017.52 0.763979 2.03642 2358.06 2267.81 0.491337 0.349691 0.589083 0.434816 367.364 1.89336 0.140644 2410.06 0.113661 3.12506 0.0996691
453.615 -1.09219 1.5387 -1 -1 -1 -1 260.025 0.635684 -1 0.698415 -1 415.191 -1.57283 0.177077 474.805 0.852515 2.98738 0.0996691
554.73 -0.308566 -0.198578 -1 -1 -1 -1 486.622 0.454485 -1 0.61675 -1 398.379 3.06177 0.00566749 685.825 0.816155 3.03096 0.0996691
1667.19 -0.333484 2.73199 407.49 1.13551 -0.886431 2103.28 1908.16 0.494324 0.684741 0.627673 0.74142 1028.71 -0.309691 0.137785 2322.92 0.710314 2.90483 0.0996691
2512.19 -0.0576927 1.75368 2022.14 -0.175509 -0.727248 4304.75 4173.57 0.394366 0.55628 0.7305 0.526982 273.157 -1.32862 0.466459 6012.78 0.720769 2.74658 -0.0996691
432.44 1.40717 -1.75245 -1 -1 -1 -1 453.312 0.760689 -1 0.664115 -1 326.15 1.39641 0.0109489 501.26 0.6352 3.13658 0.0996691
2463.72 -0.332575 2.939 1513.24 -0.0377752 -0.826117 4074.98 2502.98 0.442267 0.699139 0.0944467 0.745858 335.668 0.644939 0.293682 5311.85 0.128929 2.93571 -0.0996691
1565.56 -0.802693 2.39205 677.074 -2.30696 -2.00039 2390.26 2379.87 0.154254 0.545047 0.328568 0.357056 1164.33 -0.503841 0.0545144 2656.09 0.935607 2.84138 0.0996691
2069.41 1.06147 0.959498 1867.26 -0.233075 -2.12713 4945.61 3592.99 0.613334 0.173886 0.485487 0.706263 962.531 -2.38143 0.106522 4691.66 0.791644 3.10256 0.0996691
1913.5 0.0996682 1.29375 1867.72 0.510905 -1.06693 3616.71 3590.24 0.169422 0.486441 0.59728 0.324176 1056.41 -2.49185 0.28493 4521.57 0.96118 2.78136 0.0996691
1641.03 -0.0131935 2.84424 1461.06 0.0758648 -0.444215 3156.55 1598.48 0.697241 0.605203 0.527505 0.79535 315.388 -0.549807 0.00660334 5605.77 0.243877 2.89416 -0.0996691
1508.29 0.885341 2.55722 1489.4 0.54798 -0.317021 3024.08 3002.98 0.354641 0.221692 0.530808 0.729629 394.704 -1.98314 1.66705 2980.3 0.135439 2.87003 0.0996691
1001.11 -0.260963 -0.363614 731.422 0.850692 2.7091 1988.2 1978.83 0.49195 0.3348 0.635651 0.113039 279.871 2.93898 0.227274 1726.84 0.158438 3.07314 0.0996691
1227.05 -0.050292 0.531625 397.721 -0.693739 -2.62948 1520.85 1311.34 0.32112 0.397935 0.394305 0.582191 1115.85 -2.64509 0.0127294 1920.48 0.445823 3.05912 0.0996691
1743.8 0.116919 -0.436906 1227.41 -0.782424 1.43383 2773.77 2532.8 0.447196 0.680783 0.808855 0.696087 2261.97 -2.84041 1.97095 3388.14 0.908516 0.945605 0.0996691
2718.37 -0.0291973 2.29892 2516.09 0.493231 -0.363918 5285.9 5231.58 0.763593 0.372863 0.726579 0.57795 635.186 -2.51601 0.00540622 6988.43 0.427871 2.27514 -0.0996691
361.959 0.191548 -0.287145 -1 -1 -1 -1 96.7081 0.653253 -1 0.610496 -1 359.959 2.8446 2.60261 366.906 0.981352 0.600959 0.0996691
2153.92 -0.138216 -1.38594 1854.25 -0.146658 2.68646 3620.72 3474.44 0.606841 0.533667 0.743069 0.781051 1111.31 0.337158 0.323908 4908.4 0.288624 2.94456 -0.0996691
363.647 0.656395 -1.27822 -1 -1 -1 -1 406.904 0.482362 -1 0.592578 -1 289.834 1.83379 0.0366928 433.965 0.674655 3.13375 0.0996691
1286.95 0.686738 2.47571 1146.85 -0.868796 -2.57467 2603.48 1641.95 0.437018 0.517345 0.500901 0.778558 907.542 -0.352311 0.276677 3495.75 0.534607 2.5495 -0.0996691
1751.32 0.0495247 -2.34795 1402.63 0.260509 -0.0387779 2919.07 2889.93 0.518423 0.397516 0.870098 0.668085 313.711 1.97713 0.0601509 5046.21 0.516616 2.32276 0.0996691
