pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 103.813 0.239318 0.189436 317.277 0.0996691
257.887 -1.8669 -0.952795 -1 -1 -1 -1 0.807682 -1 0.845287 -1 128.316 2.07441 0.0565579 427.986 0.0996691
3056.14 0.594801 -2.41075 1582.95 -1.36251 0.153519 6623.31 0.694732 0.590205 0.842378 0.823391 585.059 0.799088 0.0237793 6047.46 0.0996691
2517.36 -0.0660846 -1.00262 2095.97 -0.803687 2.73196 5023.4 0.148768 0.735666 0.720734 0.861311 265.273 -1.13016 0.0270308 6084.22 0.0996691
1633.65 -1.43314 0.931165 1295.39 -1.20546 -2.35756 3090.87 0.531014 0.529956 0.607984 0.759895 68.1463 -2.81472 0.0746567 3713.36 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 75.3061 2.07379 0.149282 195.586 0.0996691
686.128 -2.40198 1.56799 287.743 -0.455383 -1.85 1497.25 0.688319 0.80366 0.835438 0.807258 297.806 -1.44764 0.043349 1094.21 0.0996691
294.498 -1.88488 0.93165 -1 -1 -1 -1 0.838677 -1 0.775062 -1 37.7457 1.11682 0.148501 558.921 0.0996691
2093.94 0.427284 -1.11746 1453.97 1.21592 0.967779 3380.58 0.477332 0.573214 0.835545 0.692263 120.34 1.44944 0.0146395 5780.35 0.0996691
269.908 2.43511 -2.48095 -1 -1 -1 -1 0.778527 -1 0.825357 -1 111.956 0.686745 0.297305 281.731 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 66.3021 2.87245 0.122481 366.184 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.065 1.25247 0.139842 273.983 0.0996691
396.143 -0.979581 3.12762 386.372 -2.25027 -0.0265197 997.704 0.677251 0.74394 0.7387 0.822199 8.47471 -1.8133 0.580152 764.544 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 29.5044 -2.80755 0.35123 108.241 0.0996691
1497.53 -0.216612 -1.41376 1380.39 -0.337381 1.95869 2917.56 0.653425 0.514735 0.77137 0.711042 396.914 0.573886 0.0257677 2931.14 0.0996691
