pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.8404 -1.74534 1.77646 75.3054 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 74.6508 -1.82624 0.110848 567.191 1.5571
1292.91 0.631313 -1.40321 1284 -0.681067 1.99959 3184.84 0.323629 0.55814 0.856419 0.792389 500.618 0.547756 1.44167 2700.64 1.5571
1649.63 0.807539 -2.57246 702.548 0.74754 -0.111628 2113.83 0.459957 0.622134 0.678695 0.83381 1186.5 0.941827 0.490553 2580.65 1.5571
1357.1 0.852067 -1.35477 872.197 1.00537 1.41628 2189.95 0.76414 0.718687 0.832225 0.817565 817.924 1.58669 0.128173 3105.85 -1.5571
1153.92 -1.47283 2.02822 500.76 1.13871 1.1592 2716.12 0.629597 0.7347 0.82584 0.877929 1485.81 -1.55833 0.0707872 1722.69 1.5571
872.905 1.11662 0.303797 592.213 -2.04402 2.89942 3642.25 0.58405 0.780471 0.782569 0.806741 445.13 -2.46985 0.120469 1679.63 1.5571
1646.2 -0.791994 1.28407 -1 -1 -1 -1 0.712188 -1 0.776984 -1 1307.43 -1.75651 0.0180393 2169.74 1.5571
1153.89 -0.793331 1.17259 353.758 -0.827041 -1.70934 1420.28 0.551112 0.734499 0.755499 0.775229 879.486 -1.84109 0.108081 3014.41 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 73.2961 2.51041 0.290436 319.286 1.5571
1161.12 0.153611 -1.58389 855.36 0.0513985 1.95949 1985.64 0.34301 0.672016 0.833185 0.737829 712.879 1.28376 0.000721097 2361.99 1.5571
1059.78 -0.0965033 -2.77621 -1 -1 -1 -1 0.4248 -1 0.603433 -1 1041.05 0.252465 0.246622 1475.84 -1.5571
1503.84 0.213467 0.137725 1105.07 -0.703767 -2.80877 2936.72 0.492033 0.688048 0.617634 0.840739 130.754 -2.33009 0.314354 3231.93 1.5571
656.515 -0.918632 -1.99095 454.101 1.35526 -1.96101 1549.32 0.59937 0.601091 0.741577 0.77898 1118.67 1.16723 2.66179 1046.39 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.6519 2.99117 1.87183 64.3944 1.5571
902.393 0.831742 -1.07884 445.433 1.45722 1.73277 1332.69 0.610868 0.497478 0.812988 0.717477 382.288 2.21243 0.0969791 1416.75 1.5571
