pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
709.065 0.962072 1.65517 589.563 1.0956 -0.166312 1111.3 924.97 0.116573 0.548254 0.653256 0.75219 816.766 -2.28347 2.04348 1365.49 0.930466 92.9047
833.778 1.61981 -1.63025 639.606 0.561745 2.70728 1500.48 1389.94 0.448889 0.470008 0.393944 0.645264 457.039 0.720933 0.0885755 1914.42 0.55269 92.9047
285.448 2.21379 2.69253 263.829 -0.131855 -0.183937 987.687 846.526 0.457908 0.672919 0.523267 0.630805 14.9534 0.0600454 0.269455 983.49 0.825147 92.9047
776.081 -0.711247 2.99501 672.238 -0.726353 -0.911619 1348.64 1346.18 0.375698 0.483797 0.326772 0.776639 391.519 0.883201 0.433674 1590.72 0.766696 92.9047
999.412 -0.795585 1.9856 499.9 -0.593132 -0.914288 1444.89 1111.39 0.0561454 0.466187 0.577564 0.712252 325.323 -1.56486 0.0744179 1729.14 0.831329 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.2638 -2.70307 2.60032 29.3156 1 92.9047
962.81 -0.386626 -2.14194 304.506 0.878015 1.47049 1293.41 1192.58 0.471392 0.581634 0.598815 0.630309 733.994 0.776183 0.626723 1277.81 0.605262 92.9047
632.779 0.271154 -1.40618 404.717 -0.387478 1.09428 1069.17 870.321 0.63209 0.443237 0.703394 0.440265 511.353 2.13901 1.05032 1205.37 0.810645 92.9047
874.707 -0.209629 2.03586 630.98 0.431727 -0.770992 1551.81 1559.26 0.332695 0.553662 0.667707 0.507028 279.345 -2.25783 1.48535 1685.38 0.226645 92.9047
718.029 -0.966702 2.7198 477.097 -0.817533 -0.212983 1200.04 1090.49 0.656624 0.495128 0.739708 0.710683 316.448 -0.863329 0.559739 1176.68 0.255919 92.9047
315.723 -0.917944 -0.385918 -1 -1 -1 -1 467.002 0.392399 -1 0.33719 -1 59.471 -2.79273 0.273418 685.822 0.500043 92.9047
810.508 -0.927083 -2.58129 382.75 1.91216 -0.61512 2361.73 2340.34 0.663861 0.389041 0.711748 0.797648 622.418 0.898368 0.975444 1343.56 0.819752 92.9047
511.196 -0.294025 3.01991 506.547 0.538871 -0.949705 1052.11 975.798 0.508531 0.613004 0.774356 0.749552 290.73 2.15742 0.12992 1594.72 0.631113 92.9047
906.586 0.588139 1.64619 548.028 1.00511 -1.76524 1469.9 1115.68 0.366149 0.29305 0.794753 0.781406 75.9028 -1.40941 0.151647 1788.35 0.913961 92.9047
752.077 -0.13214 -1.88166 588.753 -1.18159 1.1808 1533.8 1510.35 0.459173 0.456511 0.820069 0.678863 88.7974 1.0022 0.103302 1814.97 0.484123 92.9047
827.625 0.25079 -1.59829 406.041 -0.789018 -0.353738 935.655 942.731 0.274181 0.399935 0.525083 0.0726315 1019.37 1.89674 2.25269 1246.59 0.836959 92.9047
808.087 0.73761 -3.13558 425.982 -0.275806 0.528862 1372.53 769.975 0.484221 0.505887 0.675761 0.575968 450.727 -0.446782 0.546992 1284.38 0.786727 92.9047
594.099 -1.20292 -0.0996194 521.648 -0.389339 -2.57995 1221.08 988.275 0.355751 0.458497 0.497157 0.449312 208.058 2.39952 0.925843 1324.78 0.817612 92.9047
261.793 -0.403651 2.93648 -1 -1 -1 -1 318.379 0.585483 -1 0.636428 -1 212.978 -0.511617 1.02798 338.701 0.633582 92.9047
811.502 0.242953 -0.482107 430.655 0.125536 -2.76338 1095.91 1038.54 0.00652402 0.292743 0 0.799599 589.076 2.10075 1.33315 1269.47 0.510401 92.9047
866.69 0.175844 0.932849 555.519 -1.46677 -2.71356 1935.69 1698.62 0.0794654 0.752272 0.587651 0.640654 418.093 -1.59907 0.498827 1485.35 0.94662 92.9047
479.159 -0.201114 1.05641 449.957 2.12336 -2.6209 1615.52 1605.73 0.505837 0.563487 0.296478 0.555938 385.153 -0.722939 1.78046 1077.49 0.765227 92.9047
-1 -1 -1 -1 -1 -1 -1 1825.07 -1 -1 -1 -1 207.364 -2.21541 0.345513 524.713 0.746576 92.9047
405.207 -1.18012 1.85438 384.767 -0.661407 -1.553 861.476 657.605 0.477195 0.244752 0.688734 0.739471 26.1461 0.840355 0.745255 822.206 0.90417 92.9047
435.947 0.562156 2.08415 317.887 -1.16825 -3.05474 847.413 800.09 0.37543 0.431505 0.74377 0.606416 693.196 -0.465908 0.0632019 1117.69 0.470239 92.9047
625.641 0.256583 -2.97247 610.75 -1.73185 -0.232112 1899.51 1829.74 0.397408 0.627481 0.687543 0.824153 180.537 -2.72831 0.230886 1677.35 0.432182 92.9047
472.181 -1.60661 -2.48586 447.73 0.172404 -0.588973 1217.48 1169.73 0.368477 0.686581 0.655001 0.612757 276.772 0.610057 1.2052 1318.99 0.59309 92.9047
602.056 -0.990778 -1.82562 -1 -1 -1 -1 514.8 0.700222 -1 0.57169 -1 464.254 1.23559 0.123763 762.475 0.704609 92.9047
828.932 0.41382 -0.36353 563.384 1.13964 2.90926 1509.43 1209.52 0.39231 0.32314 0.455221 0.409331 65.9726 -0.549428 0.203619 1796.32 0.14454 92.9047
844.475 0.604154 -1.29508 363.73 -0.641808 1.97534 1337.74 1313.2 0.639285 0.680025 0.783176 0.543476 363.861 1.35208 0.569858 1385.77 0.894426 92.9047
785.216 1.12535 -0.101807 760.015 0.0796539 -2.87051 1758.55 1669.41 0.474036 0.386357 0.536887 0.728698 120.388 0.615662 0.729297 1780.52 0.210782 92.9047
