pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
386.111 -0.614712 -2.81342 332.889 -1.20887 0.446 765.731 707.648 0.392224 0.469743 0.694223 0.0899046 68.3405 0.139143 0.309099 717.044 0.747439 1.5571
1293.48 0.444643 0.435369 1173.7 1.5495 -3.08194 2841.88 2865.98 0.159324 0.435519 0.701881 0.757334 88.6107 -1.93402 0.52949 2843.06 0.758129 1.5571
1629.8 -1.24893 2.9018 565.765 -0.344052 0.693234 2005.31 1816.63 0.62012 0.142306 0.460412 0.15254 1008.34 -0.572995 0.0461227 2647.22 0.424529 1.5571
670.33 2.16301 -2.37116 -1 -1 -1 -1 254.274 0.276166 -1 0.633282 -1 541.698 0.771147 0.136904 806.872 0.634946 1.5571
1287.59 0.377478 -1.13988 647.521 -2.03253 1.57152 3358.27 3093.28 0.255446 0.356986 0.723167 0.603011 642.54 2.49123 0.286777 2277.84 0.214942 1.5571
-1 -1 -1 -1 -1 -1 -1 19.0258 -1 -1 -1 -1 25.5544 -0.948977 0.341382 107.588 0.380148 1.5571
-1 -1 -1 -1 -1 -1 -1 40.1226 -1 -1 -1 -1 84.9376 1.25255 2.64823 100.826 0.947506 1.5571
1204.55 -0.931101 -0.342939 1198.67 0.765273 1.87383 3204.09 2789.51 0.60457 0.45879 0.675517 0.564341 844.882 -2.4494 0.541853 2723.14 0.929637 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7.85797 -0.777622 2.27554 36.4561 1 1.5571
1143.01 0.462795 2.05198 909.577 -0.264262 -1.77768 2078.93 2052.2 0.471777 0.69723 0.830062 0.545174 177.368 -1.25192 0.0738003 2764.6 0.961453 1.5571
2239.28 0.107492 1.45098 1098.65 0.204405 -2.12512 3088.61 3104.25 0.715125 0.653134 0.718115 0.37524 760.779 -2.22894 0.0977371 4500.65 0.401224 -1.5571
-1 -1 -1 -1 -1 -1 -1 57.0071 -1 -1 -1 -1 36.7285 -2.47001 0.32369 97.2613 0.367713 1.5571
2637.77 0.109482 -0.178296 1517.76 -0.0307016 -2.96294 4001.24 3838.37 0.422521 0.426323 0.408793 0.562505 79.7259 -1.17613 0.998478 5631.05 0.401391 1.5571
1658.35 0.783618 -2.50389 1049.22 0.499589 -0.0713456 2534.95 2559.7 0.265392 0.494064 0.35422 0.595778 1041.51 1.27449 0.427301 2787.97 0.95567 1.5571
1617.79 -0.958141 0.799042 1527.79 1.08845 -2.59688 4925.5 4997.49 0.365968 0.307154 0.344375 0.541229 611.942 2.4268 1.25936 4013.91 0.659223 -1.5571
317.464 0.0368938 -2.03924 -1 -1 -1 -1 379.28 0.694544 -1 0.734488 -1 170.517 1.10963 0.0136586 442.389 0.472802 1.5571
1224.45 -1.12137 0.829212 952.107 0.469877 -2.59912 2976.02 1887.44 0.355552 0.495553 0.249919 0.635032 338.609 -1.70354 0.279338 2330 0.792024 1.5571
1327.54 -0.590971 -1.19858 1148.17 -0.154234 -2.80516 1926.38 1785.04 0.771457 0.420533 0.691542 0.713702 1605.99 1.17766 0.00403345 2623.6 0.379642 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 88.7389 0.752609 3.02025 98.4089 1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.1672 -0.148537 2.956 31.988 1 1.5571
1111.27 0.529255 -2.48189 272.981 -1.94053 -0.771896 1928.03 1887.44 0.310526 0.74501 0.433604 0.76131 918.349 0.904483 0.1044 1546.3 0.749368 1.5571
1225.6 0.446416 0.394466 967.541 0.737141 2.27594 1822.28 1802.95 0.44026 0.50496 0.568264 0.746673 259.255 -1.69775 0.269848 3268.07 0.822385 1.5571
1988.26 -0.203611 -0.76485 1203.67 -0.247172 1.83405 3037.25 3173.61 0.515967 0.32802 0.703152 0.441187 140.175 -2.96695 0.209603 4649.22 0.65128 1.5571
1083.67 -0.00369577 -2.70893 986.746 -1.3856 1.01241 2523.41 2456.9 0.443245 0.331195 0.263268 0.736946 766.909 -1.94269 0.371593 2947.36 0.955416 1.5571
750.773 1.02534 -0.715896 259.308 -1.09914 0.375958 1291.51 706.292 0.54638 0.200344 0.57132 0.627017 993.868 2.61782 0.118292 1241.79 0.665746 1.5571
912.978 0.549948 1.96176 805.723 -1.4279 0.912206 2206.16 1954.7 0.130553 0.578548 0.835864 0.456202 241.159 -1.16763 0.108474 3187.48 0.68948 1.5571
1178.26 0.975295 -1.01196 1131.96 0.238921 1.40154 2346.67 2324.53 0.383975 0.673393 0.617832 0.696103 260.897 1.18912 0.212445 3291.02 0.473709 1.5571
1323.36 0.0886089 1.86139 1295.24 -0.402015 -1.70166 2657.7 2603.97 0.508588 0.618075 0.364157 0.710428 157.076 -0.312244 0.327119 4149.01 0.246355 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 32.3892 -0.468573 2.64504 26.0507 1 1.5571
971.801 -0.291837 -0.3687 689.783 0.439357 2.30468 1717.29 1687.35 0.685952 0.597559 0.585565 0.674217 474.696 -2.8345 1.14443 1675.82 0.914572 1.5571
928.709 -1.91642 -1.49854 -1 -1 -1 -1 501.482 0.572092 -1 0.552026 -1 856.953 1.61459 0.195849 1050.58 0.897246 1.5571
976.563 0.62656 2.78716 654.591 -0.160825 -0.553407 1747.93 1715.01 0.0017277 0.448818 0 0.699274 254.751 0.988877 0.295707 2222.7 0.307006 1.5571
1231.24 1.12703 2.77784 1126.31 -0.0971181 -1.2015 2748.05 1674.74 0.0937305 0.509492 0.579913 0.757311 978.792 0.753435 1.1723 2390.75 0.907309 -1.5571
-1 -1 -1 -1 -1 -1 -1 119.391 -1 -1 -1 -1 7.47345 -0.905002 1.25451 65.2062 0.214208 1.5571
1385.25 0.862153 -0.363879 1143.66 -0.947853 -3.02185 3588.89 3511.18 0.794148 0.424474 0.921231 0.452782 80.7376 1.28917 0.0154736 3164.45 0.829877 1.5571
356.661 0.762759 -1.30736 276.107 -0.731764 -0.463867 581.896 573.352 0.594683 0.23435 0.468238 0.841446 392.705 2.17065 0.0712657 798.658 0.490079 1.5571
1378.18 -0.0522591 -2.22756 1245.66 -0.519053 1.53462 2637 2324.4 0.572431 0.710131 0.737589 0.724416 327.665 -0.498429 0.574916 3186.5 0.772701 1.5571
1635.43 -1.44346 1.45762 1518.81 1.07618 -0.802125 5871.71 5795.64 0.359069 0.452103 0.265274 0.744467 259.135 -1.41067 0.244258 4693.78 0.970558 1.5571
312.205 1.20054 -0.872259 -1 -1 -1 -1 215.896 0.600918 -1 0.852101 -1 439.906 1.96752 2.03663 466.748 0.87761 1.5571
853.352 0.0439736 -1.48292 502.461 1.4264 -1.42619 989.044 966.958 0.330293 0.71421 0.768736 0.742803 986.811 1.80216 0.351744 1729.91 0.887897 -1.5571
1173.47 -0.372537 -0.601783 910.096 1.0369 -2.76271 2419.37 2437.01 0.59171 0.739018 0.783945 0.721323 430.456 1.87971 0.371162 2807.63 0.888882 1.5571
1402.89 0.0413702 -0.673942 1049.7 0.8196 -2.72082 2436.37 1857.88 0.694294 0.448894 0.739603 0.301613 56.8724 1.21736 0.191213 3907.29 0.670812 1.5571
808.715 -0.188733 -1.16776 593.923 1.31249 0.353609 1518.58 1366.82 0.564129 0.809077 0.807805 0.702555 766.254 2.50857 0.227004 1676.24 0.671773 1.5571
-1 -1 -1 -1 -1 -1 -1 115.398 -1 -1 -1 -1 10.4328 -2.07907 0.903778 79.3271 0.195545 1.5571
