pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1513.14 0.992405 2.90976 665.092 -0.177706 -0.464567 2415.07 2133.03 0.43825 0.507518 0.683082 0.472498 905.716 -0.0796882 0.112814 2198.41 0.920952 1.5571
1267.12 -0.0371432 1.81239 1115.65 0.683735 -1.14107 2608.59 2373.87 0.363458 0.542503 0.565025 0.555109 516.4 -0.720826 0.261639 3480.02 0.805691 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 16.9561 0.933699 -1 0 -1 1.5571
465.162 1.73761 -1.22727 -1 -1 -1 -1 462.486 0.622976 -1 0.846329 -1 362.746 1.91655 0.0732836 540.577 0.72947 1.5571
549.76 0.245022 1.73357 326.611 -2.15541 -1.46433 1593.45 1310.7 0.407935 0.633879 0.719585 0.552922 193.854 -1.34471 0.0831426 946.166 0.152348 1.5571
1079.76 -0.969521 3.07211 431.094 0.963418 0.107214 2055.83 2056.81 0.266908 0.564612 0.801657 0.83671 262.111 0.266678 0.163832 2121.01 0.44379 1.5571
-1 -1 -1 -1 -1 -1 -1 20.8691 -1 -1 -1 -1 58.3609 0.63203 0.0297285 112.752 0.380236 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.4387 0.287519 -1 0 -1 1.5571
1603.23 0.182301 0.00472865 338.827 1.47432 -2.63873 1861.63 484.043 0.312873 0.272439 0.659177 0.810749 1209.11 3.00249 0.305893 2081.23 0.821466 1.5571
399.658 0.853793 2.38047 311.966 1.03249 1.12135 444.474 409.355 0.663468 0.436814 0.688511 0.780426 464.335 -1.34923 0.243661 1145.53 0.472888 1.5571
1620.58 0.361772 0.435509 706.402 0.784929 -2.79022 2227.18 1704.77 0.225583 0.515138 0.717812 0.5514 871.25 -2.7001 0.0463946 2441.31 0.581312 1.5571
1177.85 -0.0523174 1.49139 969.123 -0.0286324 -2.73611 1879.22 1849.33 0.471437 0.527016 0.5892 0.575205 270.137 -0.683233 0.253643 3276.5 0.916547 1.5571
1044.66 0.263776 1.35584 -1 -1 -1 -1 261.308 0.30905 -1 0.795918 -1 862.277 -1.65682 0.646069 1290.49 0.436234 1.5571
1119.93 1.28088 1.12394 856.731 -0.0490481 -3.07609 2226.13 2126.54 0.340506 0.746055 0.644493 0.769255 559.512 -1.8219 0.224746 2644.6 0.869834 1.5571
1176.84 0.633146 2.76357 448.435 -2.38246 0.337127 3410.33 3340.68 0.487636 0.561511 0.239836 0.634105 370.566 -0.0823573 0.268222 2424.83 0.511971 1.5571
945.762 -1.26374 3.11504 883.181 -0.0379173 1.34974 1855.9 1857.08 0.591305 0.602877 0.735227 0.790809 197.419 -1.71343 0.822255 2895.68 0.531022 1.5571
600.717 0.139749 2.01843 488.774 1.02393 1.33254 758.749 497.303 0.348438 0.461739 0.386285 0.787878 1141.05 -1.20416 0.361585 1446.3 0.903648 1.5571
-1 -1 -1 -1 -1 -1 -1 260.91 -1 -1 -1 -1 140.781 1.59743 0.46677 543.666 0.181596 1.5571
852.068 0.615041 1.31074 633.679 -0.532666 -1.66514 1742.02 1628.34 0.613357 0.570029 0.417956 0.653343 235.385 -1.8462 0.198358 1543.39 0.146465 1.5571
-1 -1 -1 -1 -1 -1 -1 339.373 -1 -1 -1 -1 105.622 -3.10208 1.48701 344.844 0.326423 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14.4732 2.88967 -1 0 -1 1.5571
1186.67 -0.0386565 1.21478 -1 -1 -1 -1 290.446 0.383353 -1 0.75764 -1 1099.01 -1.93477 0.111334 1316.83 0.836566 1.5571
