pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
268.63 0.83153 2.51204 -1 -1 -1 -1 491.032 0.474625 -1 0.324417 -1 53.135 -1.46613 0.660505 511.004 0.783063 92.9047
561.835 0.0307256 -0.258933 543.079 1.16321 -2.22251 1136.34 1153.38 0.226326 0.349593 0.525797 0.660486 651.677 1.95137 2.10931 1121.49 0.555717 92.9047
367.968 -0.325642 -1.50237 261.66 1.53278 -0.852589 694.612 689.508 0.62293 0.676558 0.345108 0.749115 621.597 2.04381 1.65092 673.14 0.917542 92.9047
276.212 -0.250937 0.152309 -1 -1 -1 -1 302.491 0.774772 -1 0.724344 -1 447.757 3.05658 1.76141 604.361 0.868489 92.9047
959.972 -0.450115 -2.84409 913.892 -0.0614987 0.296194 1930.68 1945.21 0.0324494 0.20627 0.468622 0.654387 179.133 2.85686 0.582496 2127.94 0.650017 92.9047
781.101 0.135704 -2.73059 -1 -1 -1 -1 888.416 0.461941 -1 0.649258 -1 756.584 0.191046 0.353694 989.376 0.226936 92.9047
566.777 0.0889769 0.509228 -1 -1 -1 -1 535.64 0.360219 -1 0.487469 -1 386.82 -2.86856 0.730774 816.936 0.823701 92.9047
776.284 0.73857 0.91739 592.682 -0.21353 -2.91027 1455.83 1443.06 0.382148 0.420947 0.522086 0.767801 446.397 -1.47379 1.43508 1364.33 0.357151 92.9047
703.502 -0.567493 -1.33678 587.144 0.0261642 1.97759 1357.63 1325.06 0.106157 0.641909 0.463815 0.748907 189.673 0.994147 0.998401 1270.66 0.141043 92.9047
601.62 0.340273 1.65337 -1 -1 -1 -1 472.43 0.412632 -1 0.782134 -1 637.953 -1.64496 1.00547 811.237 0.889858 92.9047
794.805 -0.877469 -0.0367773 513.147 -1.76394 -2.89308 1399.42 1403.48 0.58108 0.56323 0.611898 0.674323 339.316 2.62475 0.77152 1318.58 0.263404 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.7762 0.855361 2.98785 42.0542 1 92.9047
367.718 -2.0092 0.481995 -1 -1 -1 -1 88.503 0.300381 -1 0.618911 -1 364.916 -2.7679 1.31432 402.038 0.773161 92.9047
943.382 -0.63111 1.92979 -1 -1 -1 -1 389.474 0.139642 -1 0.487117 -1 944.528 -1.19406 2.73756 1015.57 0.929725 92.9047
705.577 -0.95454 2.74447 533.401 -0.185938 -1.23283 1265.28 872.431 0.22638 0.131706 0.265513 0.586208 408.35 0.950801 1.3529 1496.43 0.848934 92.9047
931.319 0.593594 0.309855 395.964 0.625153 2.99942 1190.47 1188.52 0.323779 0.708345 0.448422 0.615281 560.965 -2.57151 0.713627 1332.47 0.457374 92.9047
441.101 -1.25054 0.1351 418.605 0.261901 0.319059 733.047 716.918 0.214529 0.471417 0.628499 0.516712 402.845 3.06091 0.279052 1519.71 0.314368 92.9047
610.415 1.91966 0.0799113 400.881 0.46132 -3.06316 1321.52 962.459 0.153945 0.325646 0.435495 0.729743 104.112 -1.52217 1.18496 1782.15 0.777269 92.9047
449.909 -1.87716 -2.36671 -1 -1 -1 -1 648.991 0.370114 -1 0.152856 -1 588.57 0.641273 2.86604 649.532 0.982536 92.9047
1008.39 -1.22062 -0.81809 -1 -1 -1 -1 435.79 0.32706 -1 0.675679 -1 970.135 2.29858 0.289689 1178.54 0.907648 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 21.64 -0.82912 -1 0 -1 92.9047
832.432 -0.305448 -1.07337 -1 -1 -1 -1 836.559 0.483185 -1 0.401981 -1 550.439 2.19521 0.190085 1174.11 0.529304 92.9047
862.853 1.87687 -1.58203 503.057 1.09216 2.32289 1341.49 1349.57 0.34474 0.55228 0.59465 0.343073 549.556 0.918658 0.173499 1419.08 0.917476 92.9047
-1 -1 -1 -1 -1 -1 -1 278.062 -1 -1 -1 -1 377.492 -0.673484 2.06254 446.694 0.992238 92.9047
980.294 -0.833412 -2.96609 371.508 -0.354407 -1.11297 1015.77 1012.33 0.391762 0.4069 0.618783 0.688872 843.495 0.706716 0.94895 1468.54 0.812472 92.9047
602.422 0.572692 -2.45676 -1 -1 -1 -1 1067.05 0.458482 -1 0.536828 -1 459.718 0.936668 0.761963 813.897 0.538691 92.9047
511.936 0.243071 -1.12179 367.055 -1.22778 -2.66734 952.041 795.018 0.443367 0.311738 0.361468 0.398755 602.196 1.42991 0.337319 923.274 0.93017 92.9047
605.904 -0.465271 -0.714198 377.099 0.197232 -2.64202 855.569 864.687 0.44244 0.177977 0.41637 0.258815 263.239 2.88482 0.755605 1529.33 0.600439 92.9047
-1 -1 -1 -1 -1 -1 -1 759.108 -1 -1 -1 -1 135.721 0.677306 0.338403 537.602 0.326541 92.9047
595.934 -0.676789 3.06568 441.27 -0.667589 -1.07564 907.1 905.072 0.419655 0.633228 0.477635 0.743042 619.149 0.0871771 1.16887 1397.24 0.501065 92.9047
443.688 1.25425 1.73932 439.955 0.292569 -2.20233 941.42 836.072 0.664751 0.521071 0.47857 0.603831 411.379 -0.0980502 0.0994431 1039.84 0.1389 92.9047
706.517 0.943987 -1.51834 -1 -1 -1 -1 828.781 0.616441 -1 0.439633 -1 513.512 1.83234 0.535677 1037.49 0.450665 92.9047
484.19 -0.0616927 0.13118 -1 -1 -1 -1 469.052 0.601217 -1 0.754869 -1 505.999 3.08675 0.901172 674.689 0.855966 92.9047
444.903 -1.17776 0.974242 427.527 -1.07533 2.03782 473.249 405.128 0.477624 0.36755 0.563425 0.684264 757.042 -1.71931 2.45628 870.997 0.933205 92.9047
414.497 -0.553017 -2.0111 -1 -1 -1 -1 402.336 0.189215 -1 0.451249 -1 390.869 1.48806 0.789211 611.89 0.929497 92.9047
709.486 -1.59749 -0.775674 357.933 -1.09025 1.51868 988.654 898.409 0.711163 0.601173 0.822068 0.66066 647.148 2.94673 1.44516 1152.8 0.87703 92.9047
751.564 0.539014 -2.27638 511.039 -0.672745 1.34053 1467.45 777.702 0.0277468 0.0289348 0.459838 0.431493 305.248 0.180058 0.548502 773.925 0.850859 92.9047
529.969 1.13361 -2.14648 518.15 0.0249343 0.766377 1214.65 1215.67 0.796625 0.327961 0.784831 0.680803 87.5213 3.02271 1.11472 1095.17 0.117482 92.9047
-1 -1 -1 -1 -1 -1 -1 385.432 -1 -1 -1 -1 147.464 0.682826 0.913249 496.822 0.916682 92.9047
1102.03 -0.884471 -1.87684 951.185 -0.86517 1.46745 2076.46 1934.91 0.525991 0.739907 0.340504 0.721707 261.001 0.455822 1.01205 2097.26 0.761828 92.9047
675.77 0.399627 3.12962 446.945 -1.44647 -0.291107 1618.19 1357.41 0.303755 0.343343 0.617015 0.476031 218.869 -0.0779642 0.185358 1250.51 0.720405 92.9047
760.975 0.352962 2.87971 326.573 -0.964031 1.35025 1000.13 987.913 0.483302 0.545533 0.754885 0.661873 884.18 -0.680685 2.02424 1098.24 0.960337 92.9047
-1 -1 -1 -1 -1 -1 -1 634.943 -1 -1 -1 -1 176.011 -1.64002 2.87571 160.042 0.97353 92.9047
578.596 -0.349603 -1.42238 565.689 -0.536496 2.25137 1178.57 947.638 0.561526 0.12958 0.655186 0.717636 203.744 2.47592 0.0611334 1654.89 0.656981 92.9047
591.563 0.798271 -3.12959 -1 -1 -1 -1 788.691 0.8013 -1 0.727422 -1 393.816 -0.191714 0.49125 852.584 0.560786 92.9047
853.333 1.53035 -1.70464 434.174 0.481803 2.62362 1251.98 1081.94 0.425921 0.399844 0.797785 0.591945 662.099 0.779564 0.374136 1434.75 0.748106 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 97.6092 0.999949 3.12058 109.677 1 92.9047
310.457 0.028455 2.37122 -1 -1 -1 -1 82.3715 0.476614 -1 0.666537 -1 304.549 -0.87416 1.05461 344.805 0.861582 92.9047
1073.54 -0.350895 -2.08266 274.386 0.877036 1.46747 1297.31 1287.03 0.114108 0.473358 0.578984 0.767654 799.63 0.903931 0.556815 1404.15 0.625867 92.9047
305.311 -0.0830237 -1.29195 -1 -1 -1 -1 502.798 0.298833 -1 0.602887 -1 124.315 0.45283 0.568213 735.625 0.653182 92.9047
725.236 -0.0717746 1.58256 651.861 0.865134 -1.84846 1577.18 1339.01 0.368348 0.22291 0.722317 0.707357 179.898 -0.4995 0.0269388 1441.43 0.536191 92.9047
440.689 -0.188471 0.806189 404.074 1.96718 -0.1388 1193.58 599.72 0.547702 0.41048 0.540744 0.663865 618.762 -2.9008 0.386429 964.296 0.355268 92.9047
494.195 -1.21495 2.18184 366.752 1.17909 2.29309 1288.57 1276.91 0.372358 0.324807 0.783296 0.806467 668.651 -1.04079 0.542934 1076.54 0.441837 92.9047
622.834 0.473706 2.61699 415.213 -1.49531 -1.62745 1463.6 1470.57 0.613771 0.402473 0.503121 0.743407 491.537 0.0985496 0.587202 1141.74 0.832062 92.9047
480.303 -0.669736 -2.11 -1 -1 -1 -1 68.6251 0.439748 -1 0.771179 -1 457.681 1.05454 2.6926 489.46 0.995078 92.9047
737.827 0.949959 1.64078 -1 -1 -1 -1 914.926 0.132063 -1 0.407717 -1 635.18 -1.83174 0.837979 1204.32 0.604665 92.9047
