pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
706.844 -0.784708 1.53097 588.376 -0.251481 -1.42633 1367.48 0.55365 0.746756 0.741189 0.823112 137.099 -1.67052 0.244191 1315.55 0.0996691 0.0139676
1182.12 -0.327917 -1.64557 1123.22 -0.974532 2.22446 2395.18 0.869174 0.283562 0.848725 0.806586 117.707 2.5957 0.371245 3272.09 0.0996691 0.0139418
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 121.223 2.95083 1e+06 260.301 0.0996691 0.0139576
426.233 -1.6102 -0.226233 268.607 -1.11458 2.89776 766.005 0.692051 0.715351 0.73107 0.811739 129.708 2.67071 0.22705 726.391 0.0996691 0.0139322
323.121 1.26063 -1.07109 257.631 0.916487 2.15105 636.205 0.819141 0.80193 0.812451 0.822243 66.4008 1.5776 0.573445 596.338 0.0996691 0.0139479
1786.37 -0.276193 3.02141 1521.96 -0.439126 -0.41111 3343.36 0.724983 0.323992 0.854995 0.753893 180.387 1.4639 1.55751 5397.3 -0.0996691 0.0137974
463.633 -0.221793 -2.0023 437.486 -2.16503 1.13439 1427.95 0.686195 0.811775 0.768249 0.81042 16.6111 1.67142 0.537031 876.04 0.0996691 0.0138003
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.2276 0.897299 1e+06 420.312 0.0996691 0.0135955
481.628 -0.681951 0.412394 -1 -1 -1 -1 0.668825 -1 0.728129 -1 341.092 -2.71275 3.12514 648.513 0.0996691 0.0136507
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 114.639 1.74768 1e+06 320.149 0.0996691 0.0137057
445.458 0.0213476 1.9075 -1 -1 -1 -1 0.694112 -1 0.894757 -1 298.771 -1.32554 3.05015 586.843 0.0996691 0.0137731
1366.38 1.26235 -2.41293 1241.89 -0.0171379 0.1162 3121.87 0.819321 0.808251 0.796891 0.717468 327.249 0.0248602 0.0913395 3360.06 0.0996691 0.0138146
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 48.4125 2.74788 1e+06 158.304 0.0996691 0.0138301
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.7987 -1.01753 1e+06 335.307 0.0996691 0.0138966
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 82.9492 3.00941 1e+06 224.875 0.0996691 0.0137599
1435.88 0.183015 1.8382 1176.03 -0.904543 -0.6187 2949.78 0.770477 0.754144 0.818531 0.78442 207.641 -2.60342 1.84157 3324.57 0.0996691 0.0138254
1907.28 0.274781 2.57871 1861.72 -0.00756373 -0.870027 3976.4 0.792473 0.500426 0.651914 0.78906 134.003 0.0289703 0.898997 5319.01 -0.0996691 0.0137226
